Percent,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
23,16,20,21,25,25,26,31,33,37,45,51,66,66,89,113,132,206,464,686,855,975,1091,1250,1306,1374,1567,1648,1679,1692,1718,1737,1790,1897,1971,1968,2072,2115,2124,2199,2265,2255,2438,2428,2690,2579,2739,2621,2676,2713,2869,2933,3059,3183,3241,2971,3086,3141,3212,,3096,3188
22,17,21,22,26,25,27,32,34,39,48,55,70,69,95,124,139,221,493,715,900,1029,1136,1294,1353,1434,1626,1691,1726,1749,1766,1791,1830,1957,2028,2021,2150,2173,2164,2239,2340,2316,2490,2487,2759,2627,2779,2658,2756,2772,2905,2933,3059,3183,3241,3029,3086,3141,3212,,3096,3188
21,17,22,24,27,27,28,35,36,42,51,57,73,72,99,129,154,235,516,763,935,1059,1200,1345,1409,1468,1670,1753,1786,1809,1852,1854,1921,2004,2078,2095,2211,2247,2223,2312,2383,2355,2565,2538,2819,2672,2820,2792,2830,2832,2944,2962,3059,3183,3241,3029,3086,3141,3212,,3096,3188
20,18,22,25,28,30,30,37,37,44,54,59,76,75,105,142,164,254,544,809,983,1098,1251,1394,1474,1543,1723,1816,1866,1867,1900,1909,1975,2071,2159,2155,2279,2313,2298,2372,2456,2425,2669,2615,2849,2738,2846,2883,2870,2938,3003,3122,,3183,3241,3074,3086,3141,3212,,3096,3188
19,19,24,26,29,31,31,39,39,46,57,62,80,81,113,152,180,273,582,850,1038,1150,1314,1456,1512,1599,1765,1864,1931,1926,1945,1961,2025,2124,2209,2233,2353,2384,2356,2441,2509,2472,2760,2699,2916,2836,2898,2954,2924,2964,3064,3122,,3183,3241,3074,,3141,3212,,3096,3188
18,20,25,27,32,32,33,42,42,49,60,67,87,86,119,164,194,294,619,903,1083,1208,1368,1525,1572,1669,1825,1920,1994,1986,1984,2044,2077,2211,2297,2294,2396,2502,2415,2501,2589,2520,2824,2754,2973,2892,2984,2986,2966,2983,3141,3122,,3183,3241,3140,,3141,3212,,,3188
17,21,26,30,34,33,35,45,44,53,63,74,93,92,127,176,211,318,651,949,1137,1258,1425,1577,1643,1725,1895,1979,2056,2069,2075,2129,2169,2278,2398,2365,2453,2572,2512,2564,2669,2629,2882,2849,3066,2936,3031,3047,3058,3016,3141,3122,,3183,3241,3140,,3141,3212,,,3188
16,22,29,31,36,34,37,47,47,57,66,80,99,97,137,190,228,350,703,1011,1186,1331,1485,1642,1708,1797,1980,2041,2151,2122,2157,2214,2226,2316,2470,2436,2519,2632,2581,2617,2759,2717,2912,2913,3072,3007,3092,3084,3137,3028,3141,3122,,3183,3241,3140,,3141,3212,,,3188
15,25,30,33,38,35,38,51,50,59,71,85,106,104,151,204,244,383,746,1075,1250,1398,1535,1706,1784,1874,2041,2131,2206,2205,2230,2292,2299,2373,2554,2490,2583,2697,2685,2671,2854,2820,2976,3021,3092,3035,3092,3109,3137,3082,3141,3122,,3183,3241,3140,,3141,3212,,,3188
14,28,34,34,41,36,44,54,52,63,79,92,113,114,163,221,265,423,791,1149,1314,1461,1600,1812,1863,1939,2118,2190,2257,2254,2312,2409,2365,2482,2605,2550,2697,2763,2758,2761,2942,2873,3046,3066,3096,3065,3092,3109,3137,3082,3149,3122,,3183,3241,3140,,3141,3212,,,3188
13,30,36,36,46,37,46,58,56,69,86,100,119,127,182,241,295,455,851,1211,1400,1555,1683,1884,1955,2024,2178,2281,2344,2345,2380,2464,2434,2562,2692,2606,2764,2847,2929,2832,3016,2976,3056,3111,3096,3065,3124,3109,3137,3099,3149,3122,,3183,3241,3140,,3141,3212,,,3188
12,36,40,38,50,40,50,62,59,72,92,108,129,133,194,263,333,505,921,1246,1471,1676,1752,2012,2046,2161,2308,2369,2429,2429,2469,2537,2485,2652,2798,2677,2870,2907,3051,2921,3045,3009,3210,3111,3109,3129,3124,3144,3137,3099,3149,3122,,3183,3241,3140,,3141,3212,,,3188
11,37,44,42,53,48,52,67,66,77,102,117,144,146,216,285,375,557,1004,1322,1554,1791,1831,2105,2125,2277,2408,2472,2528,2567,2555,2618,2570,2719,2851,2809,3015,2998,3054,2964,3103,3029,3210,3111,3109,3129,3124,3144,3137,3099,3149,3122,,3183,3241,3140,,3141,3212,,,3188
10,38,45,45,56,51,57,72,75,83,112,131,162,162,242,314,405,621,1077,1387,1614,1925,1926,2194,2254,2348,2506,2521,2597,2644,2665,2701,2710,2788,2883,3011,3183,3041,3090,2999,3103,3067,3210,3120,3133,3129,3124,3144,3137,3099,3149,3122,,3183,3241,3140,,3141,3212,,,3188
9,42,48,52,59,56,62,75,83,94,126,146,183,179,272,347,461,664,1184,1460,1771,1991,2077,2293,2354,2492,2672,2649,2657,2702,2777,2796,2858,2852,2974,3053,3183,3044,3090,3121,3123,3078,3210,3120,3133,3129,3134,3180,3137,3105,3155,3122,,3183,3241,3173,,3141,3212,,,3188
8,45,52,65,64,59,75,82,89,108,139,163,204,201,305,393,527,742,1289,1559,1906,2142,2189,2448,2579,2562,2838,2718,2757,2797,2843,2861,2971,2976,3000,3061,3183,3060,3116,3121,3123,3080,3210,3120,3179,3192,3134,3180,3218,3105,3155,3122,,3183,3241,3173,,3141,3212,,,3188
7,48,55,74,74,67,81,88,96,124,159,182,250,231,383,460,598,828,1381,1680,2041,2269,2318,2571,2645,2659,2903,2881,2821,2932,3006,2916,2992,3064,3149,,3183,3088,3141,3121,3126,3119,3210,3125,3187,3192,3134,3180,3218,3105,3155,3122,,3183,3241,3173,,3141,3212,,,3188
