Percent,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
36,49,86,120,152,183,251,350,416,489,543,641,730,775,863,887,922,976,1062,1112,1167,1220,1257,1316,1370,1415,1466,1499,1557,1593,1621,1673,1719,1782,1799,1842,1871,1925,1959,2003,2063,2091,2150,2180,2237,2268,2352,2387,2424,2496,2578,2656,2680,2713,2753,2842,2858,2920,2959,3035,3072,3295
35,51,90,124,161,190,263,372,434,519,569,667,757,807,893,916,951,1006,1093,1140,1199,1249,1286,1349,1402,1444,1494,1532,1585,1625,1653,1710,1752,1818,1833,1879,1903,1961,1994,2037,2097,2131,2190,2218,2271,2303,2388,2424,2462,2536,2613,2696,2705,2750,2789,2875,2902,2945,2992,3059,3099,3304
34,54,95,130,173,202,276,387,457,539,593,695,786,837,923,945,984,1036,1123,1172,1227,1279,1315,1381,1434,1473,1528,1564,1620,1661,1686,1744,1784,1852,1864,1912,1942,1998,2030,2074,2134,2166,2231,2259,2315,2347,2426,2458,2496,2576,2647,2731,2742,2782,2815,2907,2930,2980,3018,3096,3120,3321
33,55,100,135,179,213,294,407,483,572,620,719,812,870,955,977,1015,1067,1157,1199,1260,1308,1344,1409,1467,1504,1558,1599,1650,1695,1717,1780,1818,1890,1904,1952,1978,2035,2071,2111,2178,2209,2276,2297,2359,2386,2462,2494,2532,2612,2683,2759,2780,2823,2848,2936,2970,3011,3054,3133,3147,3326
32,58,105,145,191,223,307,423,507,602,647,746,839,900,987,1007,1044,1098,1187,1232,1292,1338,1377,1442,1501,1535,1590,1633,1686,1732,1752,1815,1857,1924,1943,1990,2018,2072,2107,2149,2214,2246,2308,2340,2398,2428,2493,2528,2568,2650,2726,2788,2815,2847,2888,2965,3001,3039,3092,3153,3169,3337
31,61,111,155,204,233,324,446,532,627,673,778,871,932,1022,1033,1076,1133,1218,1267,1327,1372,1411,1476,1535,1567,1627,1665,1721,1771,1788,1852,1897,1958,1976,2026,2058,2111,2150,2188,2255,2285,2346,2378,2436,2465,2533,2564,2613,2684,2764,2830,2852,2877,2922,2994,3036,3073,3119,3171,3193,3349
30,65,118,165,213,250,343,475,558,652,703,810,903,970,1054,1061,1108,1166,1251,1296,1359,1408,1440,1507,1568,1603,1660,1703,1757,1813,1831,1888,1936,2005,2016,2064,2100,2151,2189,2226,2298,2329,2387,2424,2477,2507,2575,2607,2651,2723,2807,2869,2875,2919,2958,3025,3061,3104,3140,3197,3203,3362
29,67,124,173,225,262,360,497,587,675,734,843,936,1006,1085,1097,1142,1197,1281,1331,1392,1441,1473,1543,1602,1637,1696,1738,1799,1848,1871,1925,1974,2041,2055,2109,2140,2193,2227,2268,2340,2375,2427,2462,2522,2543,2616,2652,2685,2759,2844,2902,2916,2956,2986,3057,3087,3136,3171,3222,3234,3370
28,70,131,185,244,278,380,525,617,702,764,870,968,1042,1126,1139,1177,1235,1316,1362,1425,1475,1510,1578,1637,1671,1734,1775,1839,1889,1909,1968,2013,2082,2096,2153,2180,2235,2271,2317,2379,2412,2471,2501,2562,2584,2659,2697,2726,2799,2878,2934,2958,2997,3018,3087,3115,3158,3190,3238,3252,3383
27,73,139,196,257,295,404,549,645,730,800,907,1005,1075,1157,1175,1214,1274,1351,1399,1462,1512,1545,1619,1679,1714,1768,1812,1876,1929,1951,2007,2055,2130,2139,2196,2227,2283,2317,2360,2426,2454,2511,2544,2607,2623,2697,2735,2763,2835,2909,2964,2992,3032,3050,3117,3146,3190,3211,3248,3266,3393
